exercise_name,id_part_description,description
Alternation bending elbows with dumbbells with rotation of wrist and elbows elevation,1,"In sitting position dumbbells is held with wide-grip, forearms in average setting: -take breath and bend forearm, making the half-turn of the wrist on the outside before forearm finds itself in horizontal position: -complete movement with lifting elbows and exhale. This exercise involves brachioradialis, brachialis muscle, biceps, front part of deltoid."
Alternation bending elbows with dumbbells (elbow propped on thigh),1,"In sitting position, elbow propped on inside part of thigh: -take breath and bend forearm: -exhale in the final phase of movement. This isolated exercise allows to control range, speed and accuracy of movement. It involves mainly biceps and brachialis muscle."
Alternation bending elbows with dumbbells hold neutrally,1,"In standing or sitting position, dumbbells are held by both hands with wide-grip, forearm in middle position: -take breath and bend both forearms simultaneously or alternatly: -exhale in final phase of movement. This exercise develops best brachioradialis. It affects also on biceps and brachialis muscle."
Alternate flexing forearms using cable row,1,"In standing position, face forward, cable row hand is held with wide-grip: -take breath and bend forearm: -exhale in final phase of movement. This exercise allows to concetrate effort within biceps and promotes intense muscle blood suply"
Bending elbows with barbell held with wide-grip,1,"In standing position, back straight, barbell is held with wide-grip (hands apart on widh slightly greater than the distance between shoulders): -take breath and then bend forearms trying not to move your chest by performing isometrical contraction of glutes, abdominal and paraspinal muscles: -exhale in final phase of movement. This exercise involves mainly biceps and brachialis muscle."
Reverse grip lat pull down,1,"In standing position standing centrally to lift, arm outstretched, lift hands are held with reverse grip: -take breath and bend forearms: -exhale in final phase of movement. This exercise which often ends workout arms muscles allows to develop biceps, mainly its pre-streached short head and biased in position of spread shoulders; it also develops brachialis. This exercise cannot be perform with heavy load. It's important to focus on the feeling od contraction of internal part of biceps. "
Exercise for triceps brachii muscle with use of lat pull down (hand of cable row is held with wide-grip),2,"In standing position, hands on lat pull down holder, elbows along trunk: -take breath and straight forearms trying not to tear elbows from trunk: -exhale in final phase of exercise"
Exercise for triceps brachii muscle with use of lat pull down (hand of cable row is held with reverse grip),2,"In standing position, facing the machine, arms at sides, bent at elbows, hands on the handles: -take breath and straighten forearms trying no to separate elbows from your body: -exhale in final phase of movement. Reverse grip prevents trainging with heavy load thatÂ’s why this exercise can only be done with small load  in order to develop triceps brachii muscle and concentrate effort on head of this muscle."
Alernate straightening forearms with use of lat pull down ,2,"In standing position facing the machine, hand of lift is held with wide-grip: -take breath and straighten forearm: -exhale. This exercise involves triceps brachii muscle, mainly its side head"
Straighten elbows with barbells in the lying position on bench,2,"In the lying position on bench, barbell is held with wide-grip, arms arranged vertivally in relation to the bench: -take breath and bent arms trying not to dissaude too in back elbows while lowering the barbell at the height of forehead -exhale in the final phase of movement"
Straighten elbows with dumbbells in lying position,2,"Lying on the ground, dumbbells is held in both hands, arms vertically to the ground: -take breath and bent arms controlling movement: -return to start position and exhale in final phase of movement. This exercise is evenly involving all three heads of the triceps brachii muscle"
Flexing forearms to support back on benches ,2,"Hands stacked at the end of the bench, feet based on the other bench, body suspended in the air; - take breath and bend your forearms and after that straightenthem back (push back on them); - take breath in final phase of exercise. Exercise engages triceps brachii muscle, pectorals and front part of  shoulder muscles. On thighs you can put weight and thanks to it pushing will be harder and effort will be more intense."
Barbell press behind neck,3,"In sitting position, barbell is held with wide-grip behind neck: -take breath and push barbell vertically, without bending to much back: -exhale in final phase of movement. This exercise involves deltoid muscle, mainly its middle part and rear as well as trapezius muscle, triceps brachii muscle and  serratus anterior muscle."
Dumbbell floor press,3,"In the sitting position on bench, dumbbell is held with wide-grip at shoulder level: -take breath and press dumbell up to vertical straighten arms: exhale in the final phase of movement. This exercise involves deltoid, mainly its middle part as well as trapezius, serratur anterior muscle and tricpes branchii muscle. This exercise can also be done in standing position or straightening arms alternately."
Dumbbell side raise,3,"In standing position, lower limbs in slight stride, back straight, arms at side, dumbells in hands: -rise arms to level(elbows slightly bent): -return to start position. This exercise involves shoulder muscles, mainly middle part of them. This exercise cannot be performed with high load. Series of 10-25 repetitions give best results."
Dumbbell front raise,3,"In standing position, lower limbs in slight stride, dumbbells are held with wide-grip lying on thigh or slightly on side: -take breath and alternately rise arms forward at eye level: -exhale in final phase of movement. This exercise involves mainly front part of shoulder muscles, part of the clavicular pectoralis major muscle and rest of deltoid muscle."
Rising arms with dumbbells in lateral decubitus position,3,"In lateral decubitus position on the floor or bench, dumbbells is held with wide-grip: -take breath and rise arm to level; exhale in the final phase of movement. Unlike lifting arms in standing position which involves gradualy deltoid muscle up to reaching maximum intensity of effort in the final phase (when arms come to level) in this exercise effort is foccused in the initial phase of lifting. The best results are obtainded by doing 10-20 repetitions"
Alternately lifting arms to the side with using the low cable pulley.,3,"Lift handle in your hand, arm along the trunk: -take breath and lift arm to horizon: -exhale in the final phase of movement. This exercise develops deltoid, mainly the middle multipennate muscle ie. composed of several pen-shaped parts that's why it's so important to change angles under which rises arms in order to engage all muscle bands."
Incline bench press,4,"In sitting position on the oblique bench (angle of the bench should be between 45 and 60 degrees), barbell is held with wide-grip on the level greater that distance between shoulders: -take breath and rise barbell in the level of indentation bridge: -press, exhale in the final phase of movement. This exercise involves pectoralis major muscle, mainly its collar part and front part of shoulder muscle, triceps brachii muscle and pectoralis minor muscle. It can be done using racks"
Pumps (bending arms in front support),4,"Arms straighten based on ground, spaced shoulder width (or wider), feet near each other or slight gape between them: -take breath and bend arms so the chest will be near floor without bending over the back in the lumbar region; -exhale in the final phase of movement. This is an exelent exercise for the pectoralis major muscle and triceps brachii muscle. It can be done everywhere."
Bending arms  on the armrests (swedish pumps),4,"Arms straight, based on handrails, lower limbs hang without touching the floor: -take breath and bend completly forearms so that breast will be at the height of the ralling:- exhale at the final phase of exercise. The deeper trunk tilt forward the fuller commitment of pectorial muscles (the inner part of them) and vice versa the more straight torso the fuller triceps brachii muscles work."
Lifting dumbbells lying on your back,4,"In the lying possition on horizontal bench, feet supported on the ground, upper limb bent at elbows, dumbells is held with wide-grip at the height of brest: -take breath and straighten upper limbs vertically and at the same turning the forearms so that hands will face each other: -when hands will be facing each other make isometric contraction in order to focus effort in sterno-ribbed part of pectoral major muscles: -exhale in final phase of movement. This exercise reminds lifting barbells but because of the greater amplitude of movement it promotes the pectorial major muscle tension.  When performing this exercise also works triceps and front part of the shoulder muscle."
Dumbbel Flys,4,"Lying on a narrow bench which allows free movments of arms, dumbbel is held in the hands lifted upwards or slightly bent in elbows in order to relieve pressure on joints: -take breath and then spread out arm to the level; -back to vertical making exhale; -perform small isometric contraction in the final phase of movement in order to strenghten the work of sterno-ribbed part of te pectoral major muscle. This exercise must not be done with heavy loads. This exercise mainly focuses effot in the pectorial muscles bigger.This is the basic exercise which develops the chest muscles which also increases the capacity of lunges."
Pull-over with barbells in the suspine position on horizontal bench,4,"Arms lifted upward, barbell is held with wide-grip(grip the neck on witdh of shoulders): -take breath, taking to lungs as much air as possible and leave the barbell behind your head, slightly bending upper limbs in elbows; -exhale and return to start possition. This exercise develops pectoralis major muscle lats as well as front toothed muscles, rhomboid muscles and pectoralis minor muscle.This exercise is made with a small load  "
Wide grip pull up,5,"In the overhang on the stick, hands in the conversion, wide apart: -take breath and pull up so that chest will be near stick level: -exhale in final phase of movement -return to start position controling movement during descend and then repeat whole exercise. This is perfect exercise but demanding quite large force. This exercise develops teres major muscle and doral muscles"
Chin up,5,"In the overhang on the stick, hands reversed, spaced on shoulder width: -take breath and throw out chest and pull up so thath chin will be on stick level: -exhale in final phase of movement. This exercise develops doral muscles and teres major muscle. For this reason it may be included in training arms plan. In exercise also takes part trapezius muscle, rhomboid muscle and chest muscles."
Pulling cable row to neck,5,"In sitting position, face placed to machine, thighs is held by blocks, stick is held with wide-grip with widely spaced hands: -take breath and pull stick behind neck with elbows along the trunk: -exhale in final phase of movement. This is perfect exercise for increasing width of back muscles. It involves muscles lats (mainly their external fiber and lower)."
Rising dumbbells in kneel propped on the bench,5,"Dumbell is held in one hand with half conversion, second hand bend and bent at knee lower limb based on bench; -secure back, take breath and pull dumbell the most possible height, is helding arm near body and restoring hard elbow to the back: -exhale in the final phase of movement. In order to achive maximum muscle tension you can slightly turn your chest in the final phase of the pull. This exercise involves mainly latissimus dorsi muscle, teres major muscle, the rear parts of the deltoid and trapezius and rhomboid muscles (in the final phase) and also flexor muscles of the arms (mainly biceps)"
Vertical pulls barbell up to chin (narrow grip),5,"In standing position, lower limbs in slight stride, back straight, barbell is held with wide-grip(hands apart from each other on the width of hands or slightly greater): -take breath, pull barbell along trunk to chin, rising elbows as high as possible: -while exhale control lowering the barbell so that it will be smooth."
Barbell shrug,5,"In standing position, facing the barbell, lower limbs in slight stride: -take barbell with hands with reverse grip -strongly straighten spine, stretch stomach muscles and perform arms rising. This exercise develops descending trapezius muscle."
Dumbbell squat,6,"In standing posiiton, lower limbs in slight stride, dumbbell are held in hands, arms fall down freely: -look straight ahead, take breath, slightly bend back and bend knees; when thighs will be at ground level, straight lower limbs and return to start position; -exhale. This exercise involves mainly quadriceps muscles of thigh and buttock muscles."
45 degree leg press,6,"In the arrangment on the machine, spine adjacent to back of machine, feet apart not to wide: -take brearh, unlock the machine's protection and as hard as possible bend knees so that lower limbs will be near chest: -return to start position with exhale in the final phase of movement. If feet are arranged in lower part of platform, the quadriceps muscles are working primarily. If feet are wide apart, effort is directed to the adductor muscle"
Straighten of lower limbs with the use of machine,6,"In sittingh position on the machine, hands clenched on poles or seats in order to keep torso still, lower limbs bent at knees and ankles stacked in rollers: -take breath and straighten limbs to set them to the level: -exhale in the final phase of movement. This is perfect isolated exercise for quadriceps. It must be said that the more leans back the greater will be back lean of plevis."
Exercise for sciatic muscle-shin in standing position with use of machine,6,"In standing position, chest based on stand, knees blocked, lower limbs straight: -take breath and bend knee: -exhale in final phase of movement. This exercise involves all sciatic muscle-shin and to a lesser extent, bulging calf muscles."
Standing one leg calf raise with dumbbell,6,"In standing position, toes resting on stand, dumbbell in one hand, other hand based on bracket for better balance: -climb on toes (plantar flexion), keeping knee in straight or slight flexion: -return to start position. This exercise involves triceps calf. In every repetition should be performed full bend to stretch the triceps calf"
Hack Calf Rise,6,"In sitting position, lower part of the thigh under block, toes on the stand, heel slightly lowered: -climb on toes (plantar bend). This exercise mainly involves the soleus."
Trunk slopes in lying position (crunch),7,"Lying on the ground, hands behind head, thighs positioned vertically, knees bent: -take breath and rise your arms from ground, attract knees to head and bent the spine: -echale in the final phase of exercise. This exercise involves mainly the rectus abdominis. For more intensive work of oblique abdominal muscles just bent spine and attract alternately right elbow to left knee and left elbow to right knee"
Raising the body from ground,7,"Lying on ground, lower limbs bent, feet on the floor, hands behind head: -take breath and raise body, arching your spine, make exhale in the final phase of exercise: -return to start position but in this time without lying completly on floor: -again raise body (in the stomach area should appear burning). This exercise involves muscles of the hip flexors."
Slopes trunk front with use of lat pull down,7,"In kneeling position, stick behind neck: -take breath and bend spine approaching bridge to pubic bone; -exhale in final phase of movement. This exercise cannot be done with heavy load. It's important to focus on work of muscles."
Rising the lower limbs on the inclide bench with flexion of the spine and lifting the plevis,7,"Lying on the inclide bench, hands on the railing or stick: -rise lower limbs to the vertical, then rise plevis, bend the spine and try to touch your head with knees. Exercise engages iliopsoas muscle while rising lower limbs, tensor fasciae latae and biceps of thigh (part of quadriceps muscle) during the bending of the spine is engaging abdominal pressure."
Raising knees on the abdominal muscles machine,7,"Based on elbows, back locked: -take breath and pull knees to your chest, bend back to arc in order to streetch muscles abdominal pressure: -exhale in final phase of movement. This exercise involves muscles of hip flexors, mainly ilio-lumbar muscles as well as the obliques and the rectus abdominis, the latter is engaged intensively in its lower part."
Raising lower limbs in overhang on the stick,7,"In the overhang on the stick: -take breath and raise knees as high as possible trying to get closer pubic bone to bridge by bend of the spine: -exhale in the final phase of exercise. This exercise affects ilio-lumbar muscles, rectus femoris muscle and tensor fascia lata (while rising lower limbs)."